Rent,Address,Zip,num_bedrooms,num_bathrooms,num_sqft
"$2,300",3 Greystone Walk Drive,M1K,2,2,900
"$2,400",88 Corporate Drive,M1H,2,2,1000
"$1,900",50 Town Centre Court,M1P,1,1,650
"$2,200",1 Lee Centre Drive,M1H,2,2,890
"$2,250",55 Crockamhill Dr,M1S,3,3,2050
"$2,500",11 Lee Centre Drive,M1H,2,2,850
"$1,750",18 Mondeo Drive,M1P,1,1,600
"$2,250",38 Lee Centre Drive,M1H,2,2,800
"$2,250",3050 Ellesmere Road,M1E,2,2,932
"$2,400",151 Village Green Square,M1S,2,2,900
"$2,100",70 Town Centre Court,M1P,1,1,650
"$2,100",1 Lee Centre Drive,M1H,1,1,650
"$2,150",1883 McNicoll Avenue,M1V,2,2,900
"$2,000",50 Town Centre Court,M1P,1,1,650
"$2,100",60 Town Centre Court,M1P,2,2,800
"$1,800",36 Lee Centre Drive,M1H,1,1,500
"$2,100",11 Lee Centre Drive,M1H,2,1,750
"$2,300",4101 Sheppard Avenue East,M1S,2,1 ½,1100
"$1,900",255 Village Green Square,M1S,1,1,500
"$2,700",68 Corporate Drive,M1H,2,2,1100
"$2,900",70 Town Centre Court,M1P,2,2,870
"$2,600",50 Town Centre Court,M1P,2,2,900
"$1,980",8 Mondeo Drive,M1P,1,1,650
"$1,999",50 Town Centre Court,M1P,1,1,650
"$1,750",38 Lee Centre Drive,M1H,1,1,500
"$2,500",36 Lee Centre Drive,M1H,2,2,850
"$2,650",255 Village Green Square,M1S,2,2,800
"$1,825",70 Town Centre Court,M1P,1,1,500
"$1,750",25 Town Centre Court,M1P,1,1,550
"$2,150",38 Lee Centre Drive,M1H,2,2,850
"$1,950",70 Town Centre Court,M1P,1,1,600
"$2,490",11 Lee Centre Drive,M1H,2,2,850
"$2,200",181 Village Green Square,M1S,2,2,850
"$2,100",300 Alton Towers Circle,M1V,2,2,1250
"$2,000",88 Grangeway Avenue,M1H,1,1,650
"$2,400",60 Town Centre Court,M1P,2,2,780
"$2,250",38 Lee Centre Drive,M1H,2,2,800
"$2,150",60 Town Centre Court,M1P,2,1,700
"$2,000",70 Town Centre Court,M1P,1,1,
"$1,900",50 Town Centre Court,M1P,1,1,
"$1,850",8 Lee Centre Drive,M1H,1,1,650
"$2,000",60 Town Centre Court | Unit: 703,M1P,1,1,
"$2,050",1093 Kingston Road,M1N,1,1,735
"$2,200",275 Village Green Square,M1S,2,2,728
"$2,000",38 Lee Centre Drive,M1H,2,1,650
"$2,500",88 Corporate Drive,M1H,2,2,1100
"$1,945",83 Borough Drive,M1P,1,1,650
"$1,900",255 Village Green Square,M1S,1,1,500
"$1,700",2 Glamorgan Avenue,M1P,1,1,899
"$2,100",60 Town Centre Court,M1P,2,1,700
"$1,950",11 Lee Centre Drive,M1H,1,1,650
"$2,300",38 Lee Centre Drive,M1H,2,2,950
"$1,950",38 Lee Centre Drive,M1H,1,1,650
"$2,450",1881 McNicoll Avenue,M1V,3,3,1500
"$1,900",60 Town Centre Court,M1P,1,1,650
"$2,200",22 East Haven Drive,M1N,2,2,900
"$2,450",4060 Lawrence Avenue East,M1E,3,2,1300
